,Party_Id,Mean_Business,Median_Business,Total_Business,Mean_Days,Median_Days,Mean_Ship_Delay,Median_Ship_Delay,Mean_Initial_Delay,Median_Initial_Delay,Total_Transactions
271,2248699,40.52,40.52,121.56,6.66666666667,8.0,4.33333333333,5.0,2.33333333333,3.0,3
272,2255789,221.34,221.34,221.34,5.0,5.0,4.0,4.0,1.0,1.0,1
273,2260789,58.5446153846,54.77,761.08,7.66666666667,,2.91666666667,,6.92307692308,2.0,13
274,2263789,70.5815,66.055,1411.63,6.11764705882,,3.82352941176,,2.35,2.0,20
275,2264789,56.6064814815,45.85,3056.75,7.28301886792,,4.01886792453,,3.38888888889,2.0,54
276,2265789,51.6933333333,48.54,155.08,5.0,4.0,3.66666666667,3.0,1.33333333333,1.0,3
277,2270699,60.3122222222,56.0,542.81,8.0,7.0,6.22222222222,6.0,1.77777777778,2.0,9
278,2291699,69.0023076923,49.44,897.03,6.08333333333,,3.91666666667,,2.38461538462,2.0,13
279,2294789,81.79,81.79,81.79,5.0,5.0,2.0,2.0,3.0,3.0,1
280,2298699,54.9125,45.9,1757.2,6.03333333333,,3.6,,2.5625,2.0,32
281,2302789,50.35,44.22,1913.3,6.42105263158,5.0,2.68421052632,2.0,3.73684210526,2.0,38
282,2318699,85.1227777778,56.45,1532.21,5.23529411765,,2.76470588235,,2.38888888889,2.0,18
283,2319699,65.1044444444,58.08,585.94,9.75,,5.0,,4.55555555556,3.0,9
284,2324699,67.9935802469,55.35,5507.48,9.78947368421,,5.80263157895,,3.86419753086,2.0,81
285,2330699,122.164,50.995,2443.28,8.78947368421,,5.63157894737,,4.6,3.0,20
286,2332699,71.585,71.585,143.17,5.5,5.5,2.5,2.5,3.0,3.0,2
287,2334789,40.42,40.42,80.84,7.0,7.0,4.0,4.0,3.0,3.0,2
288,2341789,49.0914285714,32.16,343.64,6.66666666667,,4.83333333333,,1.85714285714,2.0,7
289,2342789,88.43,88.43,88.43,5.0,5.0,3.0,3.0,2.0,2.0,1
290,2353789,33.3429166667,29.73,800.23,9.26086956522,,4.91304347826,,4.29166666667,2.5,24
291,2357789,25.24,25.24,25.24,6.0,6.0,5.0,5.0,1.0,1.0,1
292,2364789,34.3466666667,39.28,103.04,8.66666666667,8.0,4.66666666667,6.0,4.0,2.0,3
293,2369789,53.73,53.73,53.73,7.0,7.0,5.0,5.0,2.0,2.0,1
294,2378789,108.7,108.7,108.7,5.0,5.0,2.0,2.0,3.0,3.0,1
